T_B_SCR,T_SCR_T1,T_SCR_T2,T_SCR_T3,T_SCR_T4,T_SCR_T5,T_A_SCR,,NO,NO2,N2O,H2O,NH3,,DTIUreaflowdmnd,DTIUreaflowsubm,,PTScrureamassflow,PTUreaflowdesired,,PTScrmassflow
?C,?C,?C,?C,?C,?C,?C,,ppm,ppm,ppm,ppm,ppm,,Real,Real,,Real,Real,,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,,Raw,Raw,,Raw
189.9411697,194.0246857,-271.5107821,194.1413908,195.3863899,-271.0875332,172.9505361,,145.1,5.01,7.38,0,0.25,,70,1,,68.75,70,,18.71875
189.9411697,194.0246857,-271.5107821,194.1413908,195.2479815,-271.0875332,172.9505361,,147.3,4.83,8.13,0,0.22,,70,1,,68.75,70,,18.75
189.8027454,194.0246857,-271.5107821,194.0952601,195.2249135,-271.0875332,172.9274761,,149.2,4.6,7.61,0,0.5,,70,1,,69.4375,70,,18.71875
189.7796747,194.0246857,-271.5107821,194.0721947,195.1326413,-271.0875332,172.8582959,,145.5,4.93,7.43,0,0.35,,70,1,,68.75,70,,18.65625
189.7796747,193.9554735,-271.5107821,194.0491293,195.0865052,-271.0875332,172.8582959,,150.1,4.36,7.59,0,0.47,,70,1,,68.75,70,,18.65625
189.7796747,193.9324028,-271.5107821,194.0260639,194.994233,-271.0875332,172.8582959,,149.7,4.88,7.84,0,0.23,,70,1,,69.4375,70,,18.6875
189.6873919,193.9324028,-271.5107821,193.8876715,194.9019608,-271.0875332,172.8582959,,146.2,4.49,7.74,0,0.34,,70,1,,68.75,70,,18.6875
189.6643211,193.8631907,-271.5107821,193.8646062,194.8558247,-271.0875332,172.7891156,,148.5,4.46,7.36,0,0.24,,70,1,,68.75,70,,18.75
189.6643211,193.8631907,-271.5107821,193.8415408,194.8096886,-271.0875332,172.7660556,,148.2,4.93,7.54,0,0.3,,70,1,,69.4375,70,,18.71875
189.6643211,193.8631907,-271.5107821,193.8415408,194.7174164,-271.0875332,172.7660556,,147.3,5,7.84,0,0.06,,70,1,,69.4375,70,,18.6875
189.6643211,193.84012,-271.5107821,193.79541,194.6943483,-271.0875332,172.7660556,,146.9,4.36,7.52,0,0.37,,70,1,,69.4375,70,,18.71875
189.6643211,193.84012,-271.5107821,193.7723446,194.6482122,-271.0875332,172.6968754,,144.8,4.6,8.34,0,0.41,,70,1,,69.4375,70,,18.71875
189.6643211,193.7709078,-271.5107821,193.7031484,194.6251442,-271.0875332,172.6738153,,149.6,4.54,7.8,0,0.11,,70,1,,68.75,70,,18.6875
189.6643211,193.7478371,-271.5107821,193.680083,194.532872,-271.0875332,172.6738153,,144.8,4.71,8.06,0,-0.21,,70,1,,69.4375,70,,18.6875
189.6643211,193.7478371,-271.5107821,193.680083,194.5098039,-271.0875332,172.6507552,,145.6,4.36,7.85,0,0.08,,70,1,,69.4375,70,,18.71875
